R ,17 ,C ,8 ,N ,50 ,D ,50,Rate ,1.001649,T ,0.671000 ,
R ,17 ,C ,8 ,N ,50 ,D ,55,Rate ,1.001862,T ,0.820000 ,
R ,17 ,C ,8 ,N ,50 ,D ,60,Rate ,1.001366,T ,0.877000 ,
R ,17 ,C ,8 ,N ,50 ,D ,65,Rate ,1.000314,T ,0.993000 ,
R ,17 ,C ,8 ,N ,50 ,D ,70,Rate ,1.002634,T ,3.179000 ,
R ,17 ,C ,8 ,N ,60 ,D ,1,Rate ,1.033333,T ,0.024000 ,
R ,17 ,C ,8 ,N ,60 ,D ,2,Rate ,1.011236,T ,0.021000 ,
R ,17 ,C ,8 ,N ,60 ,D ,3,Rate ,1.032787,T ,0.023000 ,
R ,17 ,C ,8 ,N ,60 ,D ,4,Rate ,1.052632,T ,0.031000 ,
R ,17 ,C ,8 ,N ,60 ,D ,5,Rate ,1.061033,T ,0.036000 ,
R ,17 ,C ,8 ,N ,60 ,D ,6,Rate ,1.059041,T ,0.041000 ,
R ,17 ,C ,8 ,N ,60 ,D ,8,Rate ,1.015152,T ,0.054000 ,
R ,17 ,C ,8 ,N ,60 ,D ,10,Rate ,1.016064,T ,0.093000 ,
R ,17 ,C ,8 ,N ,60 ,D ,12,Rate ,1.014308,T ,0.087000 ,
R ,17 ,C ,8 ,N ,60 ,D ,14,Rate ,1.009321,T ,0.128000 ,
R ,17 ,C ,8 ,N ,60 ,D ,16,Rate ,1.008046,T ,0.163000 ,
R ,17 ,C ,8 ,N ,60 ,D ,18,Rate ,1.005010,T ,0.146000 ,
R ,17 ,C ,8 ,N ,60 ,D ,20,Rate ,1.006239,T ,0.210000 ,
R ,17 ,C ,8 ,N ,60 ,D ,25,Rate ,1.003546,T ,0.312000 ,
R ,17 ,C ,8 ,N ,60 ,D ,30,Rate ,1.002334,T ,0.494000 ,
R ,17 ,C ,8 ,N ,60 ,D ,35,Rate ,1.000500,T ,0.509000 ,
R ,17 ,C ,8 ,N ,60 ,D ,40,Rate ,1.001300,T ,0.686000 ,
R ,17 ,C ,8 ,N ,60 ,D ,45,Rate ,1.001920,T ,0.736000 ,
R ,17 ,C ,8 ,N ,60 ,D ,50,Rate ,1.002070,T ,0.751000 ,
R ,17 ,C ,8 ,N ,60 ,D ,55,Rate ,1.001251,T ,0.953000 ,
R ,17 ,C ,8 ,N ,60 ,D ,60,Rate ,1.001138,T ,1.438000 ,
R ,17 ,C ,8 ,N ,60 ,D ,65,Rate ,1.002103,T ,1.987000 ,
R ,17 ,C ,8 ,N ,60 ,D ,70,Rate ,1.001456,T ,2.004000 ,
R ,17 ,C ,8 ,N ,70 ,D ,1,Rate ,1.000000,T ,0.026000 ,
R ,17 ,C ,8 ,N ,70 ,D ,2,Rate ,1.008772,T ,0.030000 ,
R ,17 ,C ,8 ,N ,70 ,D ,3,Rate ,1.058394,T ,0.032000 ,
R ,17 ,C ,8 ,N ,70 ,D ,4,Rate ,1.043750,T ,0.031000 ,
R ,17 ,C ,8 ,N ,70 ,D ,5,Rate ,1.046414,T ,0.055000 ,
R ,17 ,C ,8 ,N ,70 ,D ,6,Rate ,1.045045,T ,0.052000 ,
R ,17 ,C ,8 ,N ,70 ,D ,8,Rate ,1.024554,T ,0.063000 ,
R ,17 ,C ,8 ,N ,70 ,D ,10,Rate ,1.020101,T ,0.094000 ,
R ,17 ,C ,8 ,N ,70 ,D ,12,Rate ,1.010884,T ,0.137000 ,
R ,17 ,C ,8 ,N ,70 ,D ,14,Rate ,1.007964,T ,0.149000 ,
R ,17 ,C ,8 ,N ,70 ,D ,16,Rate ,1.003914,T ,0.147000 ,
R ,17 ,C ,8 ,N ,70 ,D ,18,Rate ,1.005217,T ,0.160000 ,
R ,17 ,C ,8 ,N ,70 ,D ,20,Rate ,1.006154,T ,0.278000 ,
R ,17 ,C ,8 ,N ,70 ,D ,25,Rate ,1.003634,T ,0.394000 ,
R ,17 ,C ,8 ,N ,70 ,D ,30,Rate ,1.004008,T ,0.478000 ,
R ,17 ,C ,8 ,N ,70 ,D ,35,Rate ,1.001706,T ,0.768000 ,
R ,17 ,C ,8 ,N ,70 ,D ,40,Rate ,1.001480,T ,0.906000 ,
R ,17 ,C ,8 ,N ,70 ,D ,45,Rate ,1.003937,T ,1.439000 ,
R ,17 ,C ,8 ,N ,70 ,D ,50,Rate ,1.001768,T ,1.590000 ,
R ,17 ,C ,8 ,N ,70 ,D ,55,Rate ,1.001604,T ,1.331000 ,
R ,17 ,C ,8 ,N ,70 ,D ,60,Rate ,1.002197,T ,1.753000 ,
R ,17 ,C ,8 ,N ,70 ,D ,65,Rate ,1.002030,T ,2.245000 ,
R ,17 ,C ,8 ,N ,70 ,D ,70,Rate ,1.001880,T ,4.810000 ,
R ,17 ,C ,8 ,N ,80 ,D ,1,Rate ,1.025000,T ,0.039000 ,
R ,17 ,C ,8 ,N ,80 ,D ,2,Rate ,1.016529,T ,0.037000 ,
R ,17 ,C ,8 ,N ,80 ,D ,3,Rate ,1.067901,T ,0.038000 ,
R ,17 ,C ,8 ,N ,80 ,D ,4,Rate ,1.029703,T ,0.039000 ,
R ,17 ,C ,8 ,N ,80 ,D ,5,Rate ,1.047445,T ,0.050000 ,
R ,17 ,C ,8 ,N ,80 ,D ,6,Rate ,1.049853,T ,0.062000 ,
R ,17 ,C ,8 ,N ,80 ,D ,8,Rate ,1.034884,T ,0.103000 ,
R ,17 ,C ,8 ,N ,80 ,D ,10,Rate ,1.015106,T ,0.097000 ,
