R ,8 ,C ,5 ,N ,70 ,D ,18,Rate ,1.010643,T ,1.862000 ,
R ,8 ,C ,5 ,N ,70 ,D ,20,Rate ,1.013254,T ,1.706000 ,
R ,8 ,C ,5 ,N ,70 ,D ,25,Rate ,1.015332,T ,1.792000 ,
R ,8 ,C ,5 ,N ,70 ,D ,30,Rate ,1.016652,T ,3.030000 ,
R ,8 ,C ,5 ,N ,70 ,D ,35,Rate ,1.030290,T ,5.133000 ,
R ,8 ,C ,5 ,N ,80 ,D ,1,Rate ,1.005988,T ,0.266000 ,
R ,8 ,C ,5 ,N ,80 ,D ,2,Rate ,1.002230,T ,0.291000 ,
R ,8 ,C ,5 ,N ,80 ,D ,3,Rate ,1.000752,T ,0.295000 ,
R ,8 ,C ,5 ,N ,80 ,D ,4,Rate ,1.002966,T ,0.245000 ,
R ,8 ,C ,5 ,N ,80 ,D ,5,Rate ,1.005970,T ,0.421000 ,
R ,8 ,C ,5 ,N ,80 ,D ,6,Rate ,1.002605,T ,0.322000 ,
R ,8 ,C ,5 ,N ,80 ,D ,8,Rate ,1.007792,T ,0.578000 ,
R ,8 ,C ,5 ,N ,80 ,D ,10,Rate ,1.006308,T ,0.739000 ,
R ,8 ,C ,5 ,N ,80 ,D ,12,Rate ,1.008992,T ,0.837000 ,
R ,8 ,C ,5 ,N ,80 ,D ,14,Rate ,1.009691,T ,1.444000 ,
R ,8 ,C ,5 ,N ,80 ,D ,16,Rate ,1.010471,T ,1.568000 ,
R ,8 ,C ,5 ,N ,80 ,D ,18,Rate ,1.015026,T ,2.194000 ,
R ,8 ,C ,5 ,N ,80 ,D ,20,Rate ,1.017964,T ,2.235000 ,
R ,8 ,C ,5 ,N ,80 ,D ,25,Rate ,1.016375,T ,3.420000 ,
R ,8 ,C ,5 ,N ,80 ,D ,30,Rate ,1.022413,T ,5.038000 ,
R ,8 ,C ,5 ,N ,80 ,D ,35,Rate ,1.027158,T ,6.541000 ,
R ,8 ,C ,5 ,N ,90 ,D ,1,Rate ,1.005631,T ,0.303000 ,
R ,8 ,C ,5 ,N ,90 ,D ,2,Rate ,1.003976,T ,0.343000 ,
R ,8 ,C ,5 ,N ,90 ,D ,3,Rate ,1.004293,T ,0.380000 ,
R ,8 ,C ,5 ,N ,90 ,D ,4,Rate ,1.004643,T ,0.439000 ,
R ,8 ,C ,5 ,N ,90 ,D ,5,Rate ,1.003648,T ,0.491000 ,
R ,8 ,C ,5 ,N ,90 ,D ,6,Rate ,1.004605,T ,0.478000 ,
R ,8 ,C ,5 ,N ,90 ,D ,8,Rate ,1.005618,T ,0.722000 ,
R ,8 ,C ,5 ,N ,90 ,D ,10,Rate ,1.005972,T ,0.961000 ,
R ,8 ,C ,5 ,N ,90 ,D ,12,Rate ,1.010649,T ,1.215000 ,
R ,8 ,C ,5 ,N ,90 ,D ,14,Rate ,1.009302,T ,1.417000 ,
R ,8 ,C ,5 ,N ,90 ,D ,16,Rate ,1.011921,T ,2.014000 ,
R ,8 ,C ,5 ,N ,90 ,D ,18,Rate ,1.022765,T ,3.271000 ,
R ,8 ,C ,5 ,N ,90 ,D ,20,Rate ,1.014871,T ,2.389000 ,
R ,8 ,C ,5 ,N ,90 ,D ,25,Rate ,1.026578,T ,4.675000 ,
R ,8 ,C ,5 ,N ,90 ,D ,30,Rate ,1.023008,T ,7.018000 ,
R ,8 ,C ,5 ,N ,90 ,D ,35,Rate ,1.031467,T ,10.023000 ,
R ,8 ,C ,5 ,N ,100 ,D ,1,Rate ,1.002988,T ,0.305000 ,
R ,8 ,C ,5 ,N ,100 ,D ,2,Rate ,1.003594,T ,0.406000 ,
R ,8 ,C ,5 ,N ,100 ,D ,3,Rate ,1.001797,T ,0.385000 ,
R ,8 ,C ,5 ,N ,100 ,D ,4,Rate ,1.004483,T ,0.429000 ,
R ,8 ,C ,5 ,N ,100 ,D ,5,Rate ,1.006857,T ,0.531000 ,
R ,8 ,C ,5 ,N ,100 ,D ,6,Rate ,1.005981,T ,0.610000 ,
R ,8 ,C ,5 ,N ,100 ,D ,8,Rate ,1.005383,T ,0.953000 ,
R ,8 ,C ,5 ,N ,100 ,D ,10,Rate ,1.008111,T ,1.059000 ,
R ,8 ,C ,5 ,N ,100 ,D ,12,Rate ,1.013996,T ,2.401000 ,
R ,8 ,C ,5 ,N ,100 ,D ,14,Rate ,1.012470,T ,2.743000 ,
R ,8 ,C ,5 ,N ,100 ,D ,16,Rate ,1.013988,T ,3.384000 ,
R ,8 ,C ,5 ,N ,100 ,D ,18,Rate ,1.019048,T ,2.918000 ,
R ,8 ,C ,5 ,N ,100 ,D ,20,Rate ,1.022109,T ,5.160000 ,
R ,8 ,C ,5 ,N ,100 ,D ,25,Rate ,1.022123,T ,5.717000 ,
R ,8 ,C ,5 ,N ,100 ,D ,30,Rate ,1.031418,T ,10.251000 ,
R ,8 ,C ,5 ,N ,100 ,D ,35,Rate ,1.041145,T ,17.047000 ,
R ,8 ,C ,5 ,N ,120 ,D ,1,Rate ,1.001483,T ,0.393000 ,
R ,8 ,C ,5 ,N ,120 ,D ,2,Rate ,1.001243,T ,0.500000 ,
R ,8 ,C ,5 ,N ,120 ,D ,3,Rate ,1.005241,T ,0.554000 ,
R ,8 ,C ,5 ,N ,120 ,D ,4,Rate ,1.003232,T ,0.611000 ,
R ,8 ,C ,5 ,N ,120 ,D ,5,Rate ,1.004710,T ,0.773000 ,
R ,8 ,C ,5 ,N ,120 ,D ,6,Rate ,1.006713,T ,0.928000 ,
R ,8 ,C ,5 ,N ,120 ,D ,8,Rate ,1.009209,T ,1.393000 ,
R ,8 ,C ,5 ,N ,120 ,D ,10,Rate ,1.010141,T ,2.171000 ,
R ,8 ,C ,5 ,N ,120 ,D ,12,Rate ,1.015347,T ,2.896000 ,
R ,8 ,C ,5 ,N ,120 ,D ,14,Rate ,1.017448,T ,3.562000 ,
R ,8 ,C ,5 ,N ,120 ,D ,16,Rate ,1.027459,T ,5.883000 ,
R ,8 ,C ,5 ,N ,120 ,D ,18,Rate ,1.035136,T ,9.499000 ,
R ,8 ,C ,5 ,N ,120 ,D ,20,Rate ,1.034594,T ,9.789000 ,
R ,8 ,C ,5 ,N ,120 ,D ,25,Rate ,1.048423,T ,20.247000 ,
R ,8 ,C ,5 ,N ,120 ,D ,30,Rate ,1.040429,T ,17.834000 ,
R ,8 ,C ,5 ,N ,120 ,D ,35,Rate ,1.062857,T ,40.059000 ,
R ,8 ,C ,5 ,N ,140 ,D ,1,Rate ,1.003838,T ,0.580000 ,
R ,8 ,C ,5 ,N ,140 ,D ,2,Rate ,1.003198,T ,0.612000 ,
R ,8 ,C ,5 ,N ,140 ,D ,3,Rate ,1.003413,T ,0.712000 ,
R ,8 ,C ,5 ,N ,140 ,D ,4,Rate ,1.005541,T ,0.761000 ,
R ,8 ,C ,5 ,N ,140 ,D ,5,Rate ,1.006365,T ,1.254000 ,
R ,8 ,C ,5 ,N ,140 ,D ,6,Rate ,1.005969,T ,1.255000 ,
R ,8 ,C ,5 ,N ,140 ,D ,8,Rate ,1.012393,T ,2.505000 ,
