R ,64,C ,64,N ,90,D ,14,Rate ,1.002664,T ,0.177
R ,64,C ,64,N ,90,D ,16,Rate ,1.005212,T ,0.239
R ,64,C ,64,N ,90,D ,18,Rate ,1.001978,T ,0.27
R ,64,C ,64,N ,90,D ,20,Rate ,1.001749,T ,0.366
R ,64,C ,64,N ,90,D ,25,Rate ,1.002775,T ,0.533
R ,64,C ,64,N ,90,D ,30,Rate ,1.0031,T ,0.558
R ,64,C ,64,N ,100,D ,1,Rate ,1.02,T ,0.041
R ,64,C ,64,N ,100,D ,2,Rate ,1,T ,0.038
R ,64,C ,64,N ,100,D ,3,Rate ,1.009174,T ,0.057
R ,64,C ,64,N ,100,D ,4,Rate ,1,T ,0.046
R ,64,C ,64,N ,100,D ,5,Rate ,1.005525,T ,0.069
R ,64,C ,64,N ,100,D ,6,Rate ,1.008696,T ,0.08
R ,64,C ,64,N ,100,D ,8,Rate ,1.004505,T ,0.096
R ,64,C ,64,N ,100,D ,10,Rate ,1.004545,T ,0.14
R ,64,C ,64,N ,100,D ,12,Rate ,1.008341,T ,0.174
R ,64,C ,64,N ,100,D ,14,Rate ,1.00546,T ,0.254
R ,64,C ,64,N ,100,D ,16,Rate ,1.002037,T ,0.314
R ,64,C ,64,N ,100,D ,18,Rate ,1.00354,T ,0.376
R ,64,C ,64,N ,100,D ,20,Rate ,1.002075,T ,0.384
R ,64,C ,64,N ,100,D ,25,Rate ,1.001242,T ,0.605
R ,64,C ,64,N ,100,D ,30,Rate ,1.001721,T ,0.907
R ,64,C ,64,N ,120,D ,1,Rate ,1.033333,T ,0.051
R ,64,C ,64,N ,120,D ,2,Rate ,1.010152,T ,0.062
R ,64,C ,64,N ,120,D ,3,Rate ,1.004032,T ,0.077
R ,64,C ,64,N ,120,D ,4,Rate ,1.015773,T ,0.076
R ,64,C ,64,N ,120,D ,5,Rate ,1.004515,T ,0.089
R ,64,C ,64,N ,120,D ,6,Rate ,1.001786,T ,0.091
R ,64,C ,64,N ,120,D ,8,Rate ,1.008653,T ,0.18
R ,64,C ,64,N ,120,D ,10,Rate ,1.006816,T ,0.203
R ,64,C ,64,N ,120,D ,12,Rate ,1.003873,T ,0.226
R ,64,C ,64,N ,120,D ,14,Rate ,1.007134,T ,0.351
R ,64,C ,64,N ,120,D ,16,Rate ,1.004997,T ,0.363
R ,64,C ,64,N ,120,D ,18,Rate ,1.003872,T ,0.46
R ,64,C ,64,N ,120,D ,20,Rate ,1.003117,T ,0.514
R ,64,C ,64,N ,120,D ,25,Rate ,1.000348,T ,0.909
R ,64,C ,64,N ,120,D ,30,Rate ,1.002587,T ,0.953
R ,64,C ,64,N ,140,D ,1,Rate ,1.035714,T ,0.063
R ,64,C ,64,N ,140,D ,2,Rate ,1.024155,T ,0.087
R ,64,C ,64,N ,140,D ,3,Rate ,1,T ,0.079
R ,64,C ,64,N ,140,D ,4,Rate ,1.008621,T ,0.079
R ,64,C ,64,N ,140,D ,5,Rate ,1.017578,T ,0.112
R ,64,C ,64,N ,140,D ,6,Rate ,1.004545,T ,0.156
R ,64,C ,64,N ,140,D ,8,Rate ,1.006336,T ,0.193
R ,64,C ,64,N ,140,D ,10,Rate ,1.005654,T ,0.214
R ,64,C ,64,N ,140,D ,12,Rate ,1.00403,T ,0.325
R ,64,C ,64,N ,140,D ,14,Rate ,1.008315,T ,0.439
R ,64,C ,64,N ,140,D ,16,Rate ,1.001918,T ,0.472
R ,64,C ,64,N ,140,D ,18,Rate ,1.004237,T ,0.576
R ,64,C ,64,N ,140,D ,20,Rate ,1.004226,T ,0.798
R ,64,C ,64,N ,140,D ,25,Rate ,1.002695,T ,1.026
R ,64,C ,64,N ,140,D ,30,Rate ,1.005952,T ,2.037
R ,64,C ,64,N ,160,D ,1,Rate ,1.025,T ,0.09
R ,64,C ,64,N ,160,D ,2,Rate ,1.011628,T ,0.096
R ,64,C ,64,N ,160,D ,3,Rate ,1.003003,T ,0.114
R ,64,C ,64,N ,160,D ,4,Rate ,1.004577,T ,0.105
R ,64,C ,64,N ,160,D ,5,Rate ,1.011885,T ,0.146
R ,64,C ,64,N ,160,D ,6,Rate ,1.005369,T ,0.161
