R ,8 ,C ,5 ,N ,100 ,D ,14,Rate ,1.028662,T ,0.976000 ,
R ,8 ,C ,5 ,N ,100 ,D ,16,Rate ,1.029717,T ,1.387000 ,
R ,8 ,C ,5 ,N ,100 ,D ,18,Rate ,1.024879,T ,1.790000 ,
R ,8 ,C ,5 ,N ,100 ,D ,20,Rate ,1.021070,T ,2.820000 ,
R ,8 ,C ,5 ,N ,100 ,D ,25,Rate ,1.028924,T ,7.846000 ,
R ,8 ,C ,5 ,N ,100 ,D ,30,Rate ,1.031601,T ,18.101000 ,
R ,8 ,C ,5 ,N ,100 ,D ,35,Rate ,1.009848,T ,7.393000 ,
R ,8 ,C ,5 ,N ,120 ,D ,1,Rate ,1.175000,T ,0.096000 ,
R ,8 ,C ,5 ,N ,120 ,D ,2,Rate ,1.067416,T ,0.095000 ,
R ,8 ,C ,5 ,N ,120 ,D ,3,Rate ,1.098291,T ,0.112000 ,
R ,8 ,C ,5 ,N ,120 ,D ,4,Rate ,1.134680,T ,0.151000 ,
R ,8 ,C ,5 ,N ,120 ,D ,5,Rate ,1.114558,T ,0.169000 ,
R ,8 ,C ,5 ,N ,120 ,D ,6,Rate ,1.093809,T ,0.280000 ,
R ,8 ,C ,5 ,N ,120 ,D ,8,Rate ,1.086683,T ,0.524000 ,
R ,8 ,C ,5 ,N ,120 ,D ,10,Rate ,1.058300,T ,0.686000 ,
R ,8 ,C ,5 ,N ,120 ,D ,12,Rate ,1.082019,T ,1.460000 ,
R ,8 ,C ,5 ,N ,120 ,D ,14,Rate ,1.035310,T ,1.679000 ,
R ,8 ,C ,5 ,N ,120 ,D ,16,Rate ,1.051784,T ,3.796000 ,
R ,8 ,C ,5 ,N ,120 ,D ,18,Rate ,1.032405,T ,4.522000 ,
R ,8 ,C ,5 ,N ,120 ,D ,20,Rate ,1.041854,T ,6.170000 ,
R ,8 ,C ,5 ,N ,120 ,D ,25,Rate ,1.035575,T ,13.887000 ,
R ,8 ,C ,5 ,N ,120 ,D ,30,Rate ,1.020730,T ,18.390000 ,
R ,8 ,C ,5 ,N ,120 ,D ,35,Rate ,1.025025,T ,33.397000 ,
R ,8 ,C ,5 ,N ,140 ,D ,1,Rate ,1.164286,T ,0.142000 ,
R ,8 ,C ,5 ,N ,140 ,D ,2,Rate ,1.073171,T ,0.104000 ,
R ,8 ,C ,5 ,N ,140 ,D ,3,Rate ,1.124555,T ,0.140000 ,
R ,8 ,C ,5 ,N ,140 ,D ,4,Rate ,1.055402,T ,0.151000 ,
R ,8 ,C ,5 ,N ,140 ,D ,5,Rate ,1.127016,T ,0.320000 ,
R ,8 ,C ,5 ,N ,140 ,D ,6,Rate ,1.106583,T ,0.396000 ,
R ,8 ,C ,5 ,N ,140 ,D ,8,Rate ,1.085998,T ,1.051000 ,
R ,8 ,C ,5 ,N ,140 ,D ,10,Rate ,1.055509,T ,2.040000 ,
R ,8 ,C ,5 ,N ,140 ,D ,12,Rate ,1.068166,T ,2.561000 ,
R ,8 ,C ,5 ,N ,140 ,D ,14,Rate ,1.068867,T ,3.244000 ,
R ,8 ,C ,5 ,N ,140 ,D ,16,Rate ,1.065982,T ,8.092000 ,
R ,8 ,C ,5 ,N ,140 ,D ,18,Rate ,1.058901,T ,8.497000 ,
R ,8 ,C ,5 ,N ,140 ,D ,20,Rate ,1.045420,T ,10.920000 ,
R ,8 ,C ,5 ,N ,140 ,D ,25,Rate ,1.055082,T ,29.386000 ,
R ,8 ,C ,5 ,N ,140 ,D ,30,Rate ,1.048726,T ,58.214000 ,
R ,8 ,C ,5 ,N ,140 ,D ,35,Rate ,1.041453,T ,90.608000 ,
R ,8 ,C ,5 ,N ,160 ,D ,1,Rate ,1.118750,T ,0.177000 ,
R ,8 ,C ,5 ,N ,160 ,D ,2,Rate ,1.090535,T ,0.133000 ,
R ,8 ,C ,5 ,N ,160 ,D ,3,Rate ,1.130990,T ,0.181000 ,
R ,8 ,C ,5 ,N ,160 ,D ,4,Rate ,1.154856,T ,0.232000 ,
R ,8 ,C ,5 ,N ,160 ,D ,5,Rate ,1.142606,T ,0.364000 ,
R ,8 ,C ,5 ,N ,160 ,D ,6,Rate ,1.147838,T ,0.617000 ,
R ,8 ,C ,5 ,N ,160 ,D ,8,Rate ,1.105779,T ,1.159000 ,
R ,8 ,C ,5 ,N ,160 ,D ,10,Rate ,1.078431,T ,1.658000 ,
R ,8 ,C ,5 ,N ,160 ,D ,12,Rate ,1.078069,T ,2.982000 ,
R ,8 ,C ,5 ,N ,160 ,D ,14,Rate ,1.065217,T ,4.898000 ,
R ,8 ,C ,5 ,N ,160 ,D ,16,Rate ,1.073139,T ,9.059000 ,
R ,8 ,C ,5 ,N ,160 ,D ,18,Rate ,1.046130,T ,12.422000 ,
R ,8 ,C ,5 ,N ,160 ,D ,20,Rate ,1.076767,T ,22.837000 ,
R ,8 ,C ,5 ,N ,160 ,D ,25,Rate ,1.068212,T ,51.059000 ,
R ,8 ,C ,5 ,N ,160 ,D ,30,Rate ,1.065818,T ,128.486000 ,
R ,8 ,C ,5 ,N ,180 ,D ,1,Rate ,1.205556,T ,0.319000 ,
R ,8 ,C ,5 ,N ,180 ,D ,2,Rate ,1.082707,T ,0.166000 ,
R ,8 ,C ,5 ,N ,180 ,D ,3,Rate ,1.121212,T ,0.265000 ,
R ,8 ,C ,5 ,N ,180 ,D ,4,Rate ,1.147903,T ,0.327000 ,
R ,8 ,C ,5 ,N ,180 ,D ,5,Rate ,1.146965,T ,0.496000 ,
R ,8 ,C ,5 ,N ,180 ,D ,6,Rate ,1.141427,T ,0.806000 ,
R ,8 ,C ,5 ,N ,180 ,D ,8,Rate ,1.139101,T ,1.798000 ,
R ,8 ,C ,5 ,N ,180 ,D ,10,Rate ,1.101307,T ,2.382000 ,
R ,8 ,C ,5 ,N ,180 ,D ,12,Rate ,1.079481,T ,4.854000 ,
R ,8 ,C ,5 ,N ,180 ,D ,14,Rate ,1.084768,T ,7.914000 ,
R ,8 ,C ,5 ,N ,180 ,D ,16,Rate ,1.063911,T ,10.319000 ,
R ,8 ,C ,5 ,N ,180 ,D ,18,Rate ,1.080487,T ,21.511000 ,
R ,8 ,C ,5 ,N ,180 ,D ,20,Rate ,1.078342,T ,30.289000 ,
R ,8 ,C ,5 ,N ,180 ,D ,25,Rate ,1.098485,T ,108.268000 ,
R ,8 ,C ,5 ,N ,180 ,D ,30,Rate ,1.078603,T ,194.111000 ,
R ,8 ,C ,5 ,N ,200 ,D ,1,Rate ,1.210000,T ,0.369000 ,
R ,8 ,C ,5 ,N ,200 ,D ,2,Rate ,1.126712,T ,0.268000 ,
R ,8 ,C ,5 ,N ,200 ,D ,3,Rate ,1.154613,T ,0.374000 ,
R ,8 ,C ,5 ,N ,200 ,D ,4,Rate ,1.153409,T ,0.406000 ,
R ,8 ,C ,5 ,N ,200 ,D ,5,Rate ,1.184862,T ,0.613000 ,
R ,8 ,C ,5 ,N ,200 ,D ,6,Rate ,1.163557,T ,1.072000 ,
R ,8 ,C ,5 ,N ,200 ,D ,8,Rate ,1.138846,T ,2.086000 ,
R ,8 ,C ,5 ,N ,200 ,D ,10,Rate ,1.093513,T ,3.363000 ,
R ,8 ,C ,5 ,N ,200 ,D ,12,Rate ,1.103349,T ,6.889000 ,
